✅ День 1;✅ День 2;✅ День 3
✅ Критическое мышление ;✅ Коммуникация ;✅ Коммуникация 
;;
;;
🔑 Ключевые события из типовой план-сетки 2025:;🔑 Ключевые события из типовой план-сетки 2025:;🔑 Ключевые события из типовой план-сетки 2025:
✅ Тренинг «Проектная деятельность»;✅ Создание проектов в Движках;✅ Защита проектов
;;
✅ «Стартапы»;✅ Тренинг ТРИЗ (развитие креативного мышления);✅ Игра «Пэчворк»
;;
✅ Мастер-класс: «Дефиле в стиле Ранвэй»;✅ Игра «Активити»;✅ Танцевальное шоу
;;
✅ Шахматный турнир;✅ Танцевальный мастер-класс;✅ Мастер-класс по съёмке видеороликов
;;
✅ Шоу «Интуиция»;✅ Сюжетно-ролевая игра «Бюрократ»;✅ Мастер-класс «Носки Tie-dye»
;;
✅ «Картина будущего»;✅ Мастер-класс по термомозаике;✅ Занятие по работе с ИИ: создание изображений + промтинг
;;
✅ «Реальная башня»;✅ Игра по территории «Два капитана»;✅ Активная тактическая командная игра «NERF»
;;
✅ Тренинг «Границы моей планеты»;✅ «Тайный Бро»;✅ Тренинг «Фантастические стартапы»
;;
✅ Интенсив по сплочению (верёвочный курс);✅ «Мост дружбы»;✅ «Фото-кросс»
;;
✅ Креативные проекты и мини-презентации;✅ Занятие по работе с ИИ: создание песен с помощью Suno;✅ Лапта / футбол
;;
✅ Кинолекторий;✅ Туристический мастер-класс;✅ Презентации / репортажи о Движках
;;
✅ Огонёк откровений;✅ Игра-тренинг «Минное поле»;✅ Вечерняя дискотека
;;
✅ Снайпер/пионербол;✅ Фото-день «Реальные Сторис!»;✅ Огонёк легенд
;;
✅ Занятие по ТРИЗ;✅ Вечерняя дискотека;
;;
✅ День 7;✅ День 8;✅ День 9
🎯 4K-навыки дня:;🎯 4K-навыки дня:;🎯 4K-навыки дня:
✅ Критическое мышление;✅ Критическое мышление;✅ Креативность
✅ Креативность;✅ Креативность;✅ Коллаборация
✅ Коллаборация;✅ Коллаборация;✅ Коммуникация
✅ Коммуникация;✅ Коммуникация;✅ Критическое мышление 
;;
;;
;;🔑 Ключевые события из типовой план-сетки 2025:
🔑 Ключевые события из типовой план-сетки 2025:;🔑 Ключевые события из типовой план-сетки 2025:;✅ «Активити»
✅ Тренинг «Лидерство»;✅ Игра «Кораблекрушение»;
;;✅ Репетиция шоу «Танцы в Реальном Лагере»
✅ Танцевальный мастер-класс в стиле вог;✅ «Лучшая вертушка» (организована детьми);
;;✅ Собрание Движков
✅ Занятие по работе с ИИ: создание изображений и коротких видео;✅ «Подземелья и драконы»;
;;✅ Занятие по педагогическому мастерству
✅ Кулинарный мастер-класс;✅ Подвижная тактическая игра «Краски»;
;;✅ Чемпионат по захвату флага
✅ «Арзаки и Менвиты»;✅ Интенсив «Генератор отрядных дел»;
;;✅ Занятие по ТРИЗ
✅ «Я возьму с собой в поход»;✅ Снайпер/пионербол;
;;✅ Запуск мини-поручений для Движков
✅ «Кельтское колесо»;✅ «Иван Купала» ;
;;✅ Вечерний кинолекторий
✅ Мастер-классы по станциям;✅ Огонёк легенд;
;;
✅ Огонёк на тему дружбы / любви / общения;;
✅ День 10;✅ День 11;✅ День 12
🎯 4K-навыки дня:;🎯 4K-навыки дня:;🎯 4K-навыки дня:
✅ Коллаборация;✅ Критическое мышление;✅ Коллаборация
✅ Коммуникация;✅ Креативность;✅ Креативность
✅ Креативность ;✅ Коллаборация;✅ Коммуникация
;;
;🔑 Ключевые события из типовой план-сетки 2025:;
🔑 Ключевые события из типовой план-сетки 2025:;✅ Занятие по финансовой грамотности;
✅ Шоу «Танцы в Реальном Лагере»;;🔑 Ключевые события из типовой план-сетки 2025:
;✅ Сказкотерапия;✅ Музыкальный морской бой
✅ Профориентационная игра по станциям «Фестиваль профессий»;;
;✅ Мастер-класс «Сахарные башни»;✅ «Отель Сто Лет Лета» (ролевая игра)
✅ Занятие по ИИ: тренинг коллаборации и сотрудничества;;
;✅ Занятие по педагогическому мастерству;✅ Старт Бросвящения
✅ Подготовка к шоу «Песни в Реальном Лагере»;;
;✅ Тренинг-игра на тему личных границ;✅ Вертушка с мастер-классами
✅ Тренинг-игра «Спектакль»;;
;✅ Шоу «Песни в Реальном Лагере» ;✅ Игра «День мемов»
✅ Упражнение «Болото»;;
;✅ Снайпер/пионербол;✅ «Пионерские игры» — ЗАРНИЦА
✅ Дискотека;;
;✅ «Подземелья и драконы»;✅ «Цивилизации в кризисе»
;;
;;✅ Дискотека
;;
;;
;;
✅ День 13;✅ День 14;✅ День 15
🎯 4K-навыки дня:;🎯 4K-навыки дня:;🎯 4K-навыки дня:
✅ Коммуникация;✅ Критическое мышление;✅ Креативность
✅ Критическое мышление;✅ Коллаборация;✅ Коммуникация
✅ Коллаборация;✅ Креативность;✅ Коллаборация
;✅ Коммуникация ;
;;
🔑 Ключевые события из типовой план-сетки 2025:;;🔑 Ключевые события из типовой план-сетки 2025:
✅ Тренинг по ораторскому искусству;🔑 Ключевые события из типовой план-сетки 2025:;✅ Творческие мастер-классы (рукоделие, лепка, рисование)
;✅ Игра «Codenames»;
✅ Огонёк «Похвали меня» ;;✅ День «Сюрпризов от вожатых» / Тайные челленджи
;✅ Игры и отрядные дела от Движков;
✅ Занятие по вожатскому мастерству ;;✅Занятие по работе с ИИ. Метапромтинг. Профессия Промт-инженер
;✅ Занятие по ТРИЗ;
✅ Лапта/футбол;;✅ Снайпер/пионербол
;✅ Сюжетно-ролевая игра «Фрегаты» ;
✅ Мастер-класс по танцу робота /брейкданс;;✅ Кинолекторий
;✅ «Необитаемый остров»;
✅Игра-вертушка «Руны»;;
;✅Бросвящение. Отрядный костёр;
;;
✅ День 16;✅ День 17;✅ День 18
🎯 4K-навыки дня:;🎯 4K-навыки дня:;🎯 4K-навыки дня:
✅ Креативность;✅ Коллаборация;✅ Коммуникация
✅ Коллаборация;✅ Креативность;✅ Креативность
✅ Коммуникация ;✅ Критическое мышление;✅ Коллаборация
;✅ Коммуникация;✅ Критическое мышление 
;;
🔑 Ключевые события из типовой план-сетки 2025:;;
✅ «Киномарафон»;🔑 Ключевые события из типовой план-сетки 2025:;🔑 Ключевые события из типовой план-сетки 2025:
;✅ «Турслёт» ;
✅ Шахматный турнир;;✅ Подготовка к Концерту закрытия смены
;;
✅ Вечер настольных игр;✅ Турнир настольных игр;✅ Деловая игра «Дебаты. Мастерство ведения переговоров»
;;
✅ Мастер-класс по фигуркам из глины;✅ Движковые активности: мини-мероприятия от детей;✅ Мастер-класс по изготовлению свечей
;;
✅Бункер;✅ Спортивные эстафеты;✅Танцевальный мастер-класс
;;
✅Ретро-день. Фестиваль дворовых игр;✅ Игра-тренинг «Остаться в живых»;✅ «Ночь Трифидов» (сюжетно-ролевая игра)
;;
;;
;;
✅ День 19;✅ День 20;✅ День 21
🎯 4K-навыки дня:;🎯 4K-навыки дня:;🎯 4K-навыки дня:
✅ Коммуникация;✅ Коммуникация;✅ Критическое мышление
✅ Креативность;✅ Креативность;✅ Коммуникация
✅ Критическое мышление;✅ Коллаборация;✅ Креативность
✅ Коллаборация ;✅ Критическое мышление;✅ Коллаборация 
;;
;;
🔑 Ключевые события из типовой план-сетки 2025:;🔑 Ключевые события из типовой план-сетки 2025:;🔑 Ключевые события из типовой план-сетки 2025:
;;✅ Вручение Реальных Значков
✅ День котиков;✅ «Лучшая вертушка» — финальный игровой день от движков;
;;✅ «Заборчики на память»
✅Создание видеоклипа о событиях смены;✅КТД «Линия жизни»;
;;
✅ Лапта/футбол;✅Просмотр видеоролика с воспоминаниями о смене;
;;
✅ Концерт закрытия смены + стрим для родителей;✅ Огонёк благодарности;
;;
✅Тематическая дискотека;;
;;
;;
;;
